angle,inenergy,absorbprob
0.017342247191428146,13895.559589999999,0.6780885729332934
0.01634062243020407,17714.65291,0.4241845237615899
0.023653965569046784,6564.131278,0.9999627200166431
0.025967862687336935,52.478002999999994,1.0
0.020725524738640987,9047.194533999998,0.9819150381632887
0.016287475694134926,7818.207344,0.9978518928501867
0.025085234653020556,11724.305680000001,0.8464091457572442
0.020168633780102956,555.915979,1.0
0.02282552562574425,12189.67437,0.811729266739939
0.024836177373720174,2839.580285,1.0
0.01912671306227903,3923.2556539999996,1.0
0.016109302034993594,10794.06355,0.9083629371007894
0.021278089250608916,12667.427370000001,0.7747286582204301
0.02181675683330444,1588.651267,1.0
0.026361036399575728,3816.954931,1.0
0.021181283563790728,4665.816511,0.9999999999981398
0.02251802445994433,7875.343731,0.9975589933680813
0.021360509084872335,1312.464681,1.0
0.024027521189281975,5886.142599,0.9999991266116403
0.021611667654207727,4873.047931,0.9999999999578504
0.022575066854897373,1352.008586,1.0
0.01927893959406781,3858.292259,1.0
0.017094125173416137,10954.4308,0.8985590204008308
0.023971472967981144,8610.584303,0.9903148121958991
0.02634521101677239,14540.232890000001,0.6288831179695111
0.017246314743843937,15511.01698,0.558835746594085
0.02224505350440342,576.167198,1.0
0.01633792941258476,18799.627210000002,0.3705195769915779
0.020250580584763287,9662.885708,0.9634482691868022
0.02224487367359443,12012.59881,0.825099709376348
0.019361242463027936,2720.4829339999997,1.0
0.015949651810283304,20603.88567,0.29743943426704567
0.02471556382329013,7148.0342279999995,0.9996543966933631
0.020331852850832933,8930.383281,0.9845175193336787
0.015869192949609263,17326.723579999998,0.4453219159137286
0.025267527921444936,5828.725263,0.9999994126336431
0.018002631836008084,495.569331,1.0
0.016411887330014675,7996.811699999999,0.9968247685463979
0.02526455919466062,745.4675279999999,1.0
0.019307500621281934,482.496563,1.0
0.02348197897689,2544.143946,1.0
0.022429424655140976,970.956267,1.0
0.022514515589439846,7569.548529,0.9988281137958094
0.01810809100737355,11987.81395,0.826920327147608
0.02590585902728155,10716.871599999999,0.9129357488488944
0.02115766288404193,9622.711028,0.9648944482660416
0.01626123693905688,8641.634124999999,0.9898300742961352
0.022918398514938036,6506.011361000001,0.9999713491421942
0.020581568281743262,2778.683384,1.0
0.022653342915546743,6266.279053,0.9999913248588016
0.023616729732674827,11482.576630000001,0.8635632437701384
0.024504449518846203,7686.77245,0.9984267573642913
