energy,v1,v2,v3,r01,r02,r03,absorbprob
100.0,0.0,0.0,-1.0,-1.0232158002831948e-18,0.0,0.0005,1.0
3422.2222222222217,0.0,0.0,-1.0,-1.0232158002831948e-18,0.0,0.0005,1.0
6744.444444444443,0.0,0.0,-1.0,-1.0232158002831948e-18,0.0,0.0005,0.9999194927444082
10066.666666666666,0.0,0.0,-1.0,-1.0232158002831948e-18,0.0,0.0005,0.9468014203816932
13388.888888888887,0.0,0.0,-1.0,-1.0232158002831948e-18,0.0,0.0005,0.7177568933529965
16711.111111111113,0.0,0.0,-1.0,-1.0232158002831948e-18,0.0,0.0005,0.4810684342932503
20033.333333333332,0.0,0.0,-1.0,-1.0232158002831948e-18,0.0,0.0005,0.31852417452651627
23355.555555555555,0.0,0.0,-1.0,-1.0232158002831948e-18,0.0,0.0005,0.21689559972080774
26677.777777777774,0.0,0.0,-1.0,-1.0232158002831948e-18,0.0,0.0005,0.15368292841452091
30000.0,0.0,0.0,-1.0,-1.0232158002831948e-18,0.0,0.0005,0.11337642912660206
100.0,-0.003878499724920302,0.0,-0.9999924785916561,-1.0232158002831948e-18,0.0,0.0005,1.0
3422.2222222222217,-0.003878499724920302,0.0,-0.9999924785916561,-1.0232158002831948e-18,0.0,0.0005,1.0
6744.444444444443,-0.003878499724920302,0.0,-0.9999924785916561,-1.0232158002831948e-18,0.0,0.0005,0.9999194984526595
10066.666666666666,-0.003878499724920302,0.0,-0.9999924785916561,-1.0232158002831948e-18,0.0,0.0005,0.9468025942432265
13388.888888888887,-0.003878499724920302,0.0,-0.9999924785916561,-1.0232158002831948e-18,0.0,0.0005,0.7177595787568154
16711.111111111113,-0.003878499724920302,0.0,-0.9999924785916561,-1.0232158002831948e-18,0.0,0.0005,0.4810709946719761
20033.333333333332,-0.003878499724920302,0.0,-0.9999924785916561,-1.0232158002831948e-18,0.0,0.0005,0.3185261402001076
23355.555555555555,-0.003878499724920302,0.0,-0.9999924785916561,-1.0232158002831948e-18,0.0,0.0005,0.21689703978377395
26677.777777777774,-0.003878499724920302,0.0,-0.9999924785916561,-1.0232158002831948e-18,0.0,0.0005,0.15368399057619497
30000.0,-0.003878499724920302,0.0,-0.9999924785916561,-1.0232158002831948e-18,0.0,0.0005,0.11337723160370106
100.0,-0.007756941106280218,0.0,-0.9999699144797676,-1.0232158002831948e-18,0.0,0.0005,1.0
3422.2222222222217,-0.007756941106280218,0.0,-0.9999699144797676,-1.0232158002831948e-18,0.0,0.0005,1.0
6744.444444444443,-0.007756941106280218,0.0,-0.9999699144797676,-1.0232158002831948e-18,0.0,0.0005,0.9999195155754144
10066.666666666666,-0.007756941106280218,0.0,-0.9999699144797676,-1.0232158002831948e-18,0.0,0.0005,0.946806115760703
13388.888888888887,-0.007756941106280218,0.0,-0.9999699144797676,-1.0232158002831948e-18,0.0,0.0005,0.7177676350169497
16711.111111111113,-0.007756941106280218,0.0,-0.9999699144797676,-1.0232158002831948e-18,0.0,0.0005,0.48107867592493525
20033.333333333332,-0.007756941106280218,0.0,-0.9999699144797676,-1.0232158002831948e-18,0.0,0.0005,0.31853203733471114
23355.555555555555,-0.007756941106280218,0.0,-0.9999699144797676,-1.0232158002831948e-18,0.0,0.0005,0.21690136006509886
26677.777777777774,-0.007756941106280218,0.0,-0.9999699144797676,-1.0232158002831948e-18,0.0,0.0005,0.15368717713310986
30000.0,-0.007756941106280218,0.0,-0.9999699144797676,-1.0232158002831948e-18,0.0,0.0005,0.11337963909099891
100.0,-0.011635265801397015,0.0,-0.9999323080037622,-1.0232158002831948e-18,0.0,0.0005,1.0
3422.2222222222217,-0.011635265801397015,0.0,-0.9999323080037622,-1.0232158002831948e-18,0.0,0.0005,1.0
6744.444444444443,-0.011635265801397015,0.0,-0.9999323080037622,-1.0232158002831948e-18,0.0,0.0005,0.9999195441066767
10066.666666666666,-0.011635265801397015,0.0,-0.9999323080037622,-1.0232158002831948e-18,0.0,0.0005,0.946811984732744
13388.888888888887,-0.011635265801397015,0.0,-0.9999323080037622,-1.0232158002831948e-18,0.0,0.0005,0.7177810622794274
16711.111111111113,-0.011635265801397015,0.0,-0.9999323080037622,-1.0232158002831948e-18,0.0,0.0005,0.4810914784024839
20033.333333333332,-0.011635265801397015,0.0,-0.9999323080037622,-1.0232158002831948e-18,0.0,0.0005,0.3185418662718309
23355.555555555555,-0.011635265801397015,0.0,-0.9999323080037622,-1.0232158002831948e-18,0.0,0.0005,0.216908560842075
26677.777777777774,-0.011635265801397015,0.0,-0.9999323080037622,-1.0232158002831948e-18,0.0,0.0005,0.15369248830095616
30000.0,-0.011635265801397015,0.0,-0.9999323080037622,-1.0232158002831948e-18,0.0,0.0005,0.11338365175650844
100.0,-0.015513415469343246,0.0,-0.9998796597293474,-1.0232158002831948e-18,0.0,0.0005,1.0
3422.2222222222217,-0.015513415469343246,0.0,-0.9998796597293474,-1.0232158002831948e-18,0.0,0.0005,1.0
6744.444444444443,-0.015513415469343246,0.0,-0.9998796597293474,-1.0232158002831948e-18,0.0,0.0005,0.9999195840364555
10066.666666666666,-0.015513415469343246,0.0,-0.9998796597293474,-1.0232158002831948e-18,0.0,0.0005,0.9468202008236923
13388.888888888887,-0.015513415469343246,0.0,-0.9998796597293474,-1.0232158002831948e-18,0.0,0.0005,0.7177998607876073
16711.111111111113,-0.015513415469343246,0.0,-0.9998796597293474,-1.0232158002831948e-18,0.0,0.0005,0.4811094026885838
20033.333333333332,-0.015513415469343246,0.0,-0.9998796597293474,-1.0232158002831948e-18,0.0,0.0005,0.3185556275806909
23355.555555555555,-0.015513415469343246,0.0,-0.9998796597293474,-1.0232158002831948e-18,0.0,0.0005,0.2169186425769044
26677.777777777774,-0.015513415469343246,0.0,-0.9998796597293474,-1.0232158002831948e-18,0.0,0.0005,0.15369992443925695
30000.0,-0.015513415469343246,0.0,-0.9998796597293474,-1.0232158002831948e-18,0.0,0.0005,0.11338926988028208
100.0,-0.019391331771824373,0.0,-0.9998119704485015,-1.0232158002831948e-18,0.0,0.0005,1.0
3422.2222222222217,-0.019391331771824373,0.0,-0.9998119704485015,-1.0232158002831948e-18,0.0,0.0005,1.0
6744.444444444443,-0.019391331771824373,0.0,-0.9998119704485015,-1.0232158002831948e-18,0.0,0.0005,0.99991963535077
