energy,attenlength
2328.74,2.25890
2361.14,2.33978
2393.98,2.42398
2427.29,2.51145
2461.05,2.60237
2495.29,2.69693
2530.00,2.79521
2565.20,2.89726
2600.89,3.00360
2637.07,3.11407
2673.75,3.22884
2710.95,3.34830
2748.66,3.47256
2786.90,3.60165
2825.67,3.73586
2864.98,3.87553
2904.83,4.02073
2945.24,4.17183
2986.22,4.32891
3027.76,4.49222
3069.88,4.66209
3112.59,4.83881
3155.89,5.02246
3199.79,5.21371
3244.30,5.41258
3289.44,5.61935
3335.20,5.83452
3381.59,6.05843
3428.64,6.29118
3476.33,6.53336
3524.69,6.78543
3573.73,7.04748
3623.44,7.32028
3673.85,7.60413
3724.96,7.89933
3776.78,8.20642
3829.32,8.52621
3882.59,8.85874
3936.60,9.20490
3991.36,9.56513
4046.89,9.93987
4103.19,10.3298
4160.27,10.7358
4218.14,11.1580
4276.82,11.5975
4336.32,12.0551
4396.64,12.5312
4457.81,13.0267
4519.82,13.5426
4582.70,14.0794
4646.45,14.6381
4711.09,15.2201
4776.63,15.8256
4843.08,16.4557
4910.45,17.1116
4978.76,17.7943
5048.02,18.5051
5118.25,19.2457
5189.45,20.0164
5261.64,20.8182
5334.84,21.6533
5409.05,22.5226
5484.30,23.4277
5560.60,24.3703
5637.95,25.3517
5716.38,26.3735
5795.91,27.4374
5876.54,28.5448
5958.29,29.6983
6041.17,30.8996
6125.21,32.1504
6210.43,33.4524
6296.82,34.8079
6384.42,36.2205
6473.23,37.6926
6563.29,39.2233
6654.59,40.8178
6747.17,42.4795
6841.03,44.2099
6936.20,46.0115
7032.69,47.8881
7130.52,49.8428
7229.72,51.8782
7330.29,53.9981
7432.27,56.2071
7535.66,58.5074
7640.49,60.9030
7746.78,63.3988
7854.55,65.9982
7963.82,68.7059
8074.61,71.5266
8186.94,74.4646
8300.83,77.5250
8416.30,80.7135
8533.38,84.0346
8652.10,87.4944
8772.46,91.0991
8894.50,94.8540
9018.23,98.7644
9143.69,102.841
9270.89,107.086
9399.86,111.508
9530.62,116.116
9663.21,120.918
9797.64,125.919
9933.94,131.130
10072.1,136.559
10212.2,142.217
10354.3,148.111
10498.4,154.253
10644.4,160.653
10792.5,167.319
10942.6,174.267
11094.8,181.503
11249.2,189.046
11405.7,196.904
11564.4,205.091
11725.2,213.623
11888.3,222.514
12053.7,231.777
12221.4,241.427
12391.4,251.482
12563.8,261.963
12738.6,272.882
12915.8,284.258
13095.5,296.111
13277.7,308.460
13462.4,321.332
13649.6,334.739
13839.5,348.711
14032.1,363.271
14227.3,378.437
14425.2,394.237
14625.9,410.705
14829.3,427.857
15035.6,445.732
15244.8,464.366
15456.9,483.777
15671.9,504.004
15889.9,525.078
16111.0,547.033
16335.1,569.906
16562.3,593.737
16792.7,618.563
17026.3,644.419
17263.2,671.358
17503.4,699.420
17746.9,728.647
17993.7,759.086
18244.1,790.791
18497.9,823.812
18755.2,858.208
19016.1,894.022
19280.6,931.311
19548.9,970.137
19820.8,1010.57
20096.5,1052.69
20376.1,1096.55
20659.6,1142.18
20947.0,1189.65
21238.4,1239.02
21533.8,1290.37
21833.4,1343.75
22137.1,1399.25
22445.1,1456.96
22757.3,1516.93
23073.9,1579.25
23394.9,1644.00
23720.4,1711.26
24050.3,1781.11
24384.9,1853.63
24724.1,1928.93
25068.1,2007.09
25416.8,2088.18
25770.4,2172.32
26128.9,2259.57
26492.4,2350.03
26860.9,2443.80
27234.6,2540.96
27613.5,2641.64
27997.6,2745.89
28387.1,2853.81
28782.0,2965.50
29182.4,3081.05
29588.4,3200.55
30000.0,3324.06
