Si Density=2.33,Thickness=0.2 microns
energy,transmission
1908.7,0.86554    
1935.3,0.86962    
1962.2,0.87359    
1989.6,0.87745    
2017.3,0.88121    
2045.4,0.88488    
2074.0,0.88844    
2102.9,0.89196    
2132.2,0.89540    
2161.9,0.89875    
2192.0,0.90201    
2222.6,0.90519    
2253.6,0.90828    
2285.0,0.91129    
2316.8,0.91421    
2349.1,0.91705    
2381.9,0.91981    
2415.1,0.92250    
2448.8,0.92510    
2482.9,0.92763    
2517.5,0.93009    
2552.6,0.93247    
2588.2,0.93478    
2624.2,0.93702    
2660.8,0.93920    
2697.9,0.94130    
2735.5,0.94334    
2773.7,0.94532    
2812.3,0.94723    
2851.5,0.94909    
2891.3,0.95088    
2931.6,0.95262    
2972.4,0.95430    
3013.9,0.95593    
3055.9,0.95750    
3098.5,0.95902    
3141.7,0.96049    
3185.5,0.96192    
3229.9,0.96329    
3274.9,0.96462    
3320.5,0.96590    
3366.8,0.96715    
3413.8,0.96834    
3461.4,0.96950    
3509.6,0.97062    
3558.5,0.97170    
3608.1,0.97274    
3658.4,0.97374    
3709.4,0.97471    
3761.1,0.97565    
3813.6,0.97655    
3866.7,0.97743    
3920.6,0.97827    
3975.3,0.97908    
4030.7,0.97986    
4086.9,0.98061    
4143.8,0.98134    
4201.6,0.98204    
4260.2,0.98272    
4319.5,0.98337    
4379.8,0.98400    
4440.8,0.98460    
4502.7,0.98518    
4565.5,0.98575    
4629.1,0.98629    
4693.6,0.98681    
4759.1,0.98731    
4825.4,0.98780    
4892.7,0.98826    
4960.9,0.98871    
5030.0,0.98914    
5100.1,0.98956    
5171.2,0.98996    
5243.3,0.99034    
5316.4,0.99072    
5390.5,0.99107    
5465.7,0.99142    
5541.8,0.99175    
5619.1,0.99207    
5697.4,0.99237    
5776.8,0.99267    
5857.4,0.99295    
5939.0,0.99323    
6021.8,0.99349    
6105.7,0.99374    
6190.9,0.99399    
6277.2,0.99422    
6364.7,0.99444    
6453.4,0.99466    
6543.3,0.99487    
6634.5,0.99507    
6727.0,0.99526    
6820.8,0.99545    
6915.9,0.99563    
7012.3,0.99580    
7110.0,0.99596    
7209.1,0.99612    
7309.6,0.99627    
7411.5,0.99642    
7514.8,0.99656    
7619.6,0.99670    
7725.8,0.99683    
7833.5,0.99695    
7942.7,0.99707    
8053.4,0.99719    
8165.7,0.99730    
8279.5,0.99740    
8394.9,0.99751    
8511.9,0.99761    
8630.6,0.99770    
8750.9,0.99779    
8872.9,0.99788    
8996.5,0.99796    
9121.9,0.99804    
9249.1,0.99812    
9378.0,0.99820    
9508.7,0.99827    
9641.3,0.99834    
9775.7,0.99840    
9912.0,0.99847    
10050.,0.99853    
10190.,0.99859    
10332.,0.99864    
10476.,0.99870    
10622.,0.99875    
10770.,0.99880    
10921.,0.99885    
11073.,0.99889    
11227.,0.99894    
11384.,0.99898    
11542.,0.99902    
11703.,0.99906    
11866.,0.99910    
12032.,0.99913    
12199.,0.99917    
12369.,0.99920    
12542.,0.99923    
12717.,0.99926    
12894.,0.99929    
13074.,0.99932    
13256.,0.99935    
13441.,0.99937    
13628.,0.99940    
13818.,0.99942    
14011.,0.99945    
14206.,0.99947    
14404.,0.99949    
14605.,0.99951    
14808.,0.99953    
15015.,0.99955    
15224.,0.99957    
15436.,0.99959    
15652.,0.99960    
15870.,0.99962    
16091.,0.99963    
16315.,0.99965    
16543.,0.99966    
16773.,0.99968    
17007.,0.99969    
17244.,0.99970    
17484.,0.99971    
17728.,0.99972    
17975.,0.99974    
18226.,0.99975    
18480.,0.99976    
18738.,0.99977    
18999.,0.99978    
